listing_id,id,date,reviewer_id,reviewer_name,comments
32711,133518207,2017-02-23,110503011,Miriam,El lugar nos pareció muy bueno. El departamento super cómodo y limpio. Además tuvieron muy buena predisposición al permitirnos hacer el check in en forma anticipada al tiempo estipulado.
32711,160939237,2017-06-16,732123,Maria,"Está bien localizado, en un buen vecindario, lo único malo es que sólo tiene un aire acondicionado en la sala, y en el verano en las habitaciones traseras hace mucho calor"
32711,205443469,2017-10-22,48880307,Jesus,Buena localización. Sitio para dormir. No se corresponde la calidad y el precio.
32711,208365223,2017-11-01,62620882,Carolina,Excelente ubicación. Amplio luminoso y súper limpio. Bien equipado.
1354875,203604762,2017-10-15,48591999,Juan,"Apartamento interior correcto, con 2 dormitorios, uno individual integrado en la sala de estar. Terraza pequeña y acceso a montpellier de uso privado. Muebles de IKEA en buen estado. Equipamento de cocina ajustado y menaje de comedor escaso. Bien para estancias cortas para 3 personas."
1354875,221112853,2017-12-25,103469828,Zhenning,Muy buena experiencia
1354875,234587615,2018-02-13,116105740,Alberto,"Muy atenta, todo dispuesto para que pasaramos 5 dias increibles en BCN. MUY RECOMENDABLE, mil gracias."
1354875,348545400,2018-11-14,178952477,Fabián,Departamento con buena ubicación  y con todas las comodidades necesarias
1354875,349762332,2018-11-18,222759109,Jaime,"El piso es bastante espacio, en un barrio limpio, seguro y con cantidad de tiendas y locales comerciales y bares a la vuelta de la esquina. <br/>A 10 minutos del metro que te comunica con toda la ciudad."
1354875,361336212,2018-12-23,9638226,Carla,"Lo recomiendo mucho. La ubicación es buenísima, cerca de supermercados, tiendas y bares. El piso estaba muy limpio, el lugar es amplio, cómodo y bien decorado. No nos faltó nada y volveríamos a este piso en Barcelona sin pensarlo."
1354875,362398900,2018-12-26,229845391,Rafael,El piso es muy sencillo pero está muy bien. La ubicación es muy buena.
1354875,448591178,2019-05-05,27911706,Leyre,"En las fotos el apartamento parece más nuevo y luminoso de lo que en realidad es. Es un piso antiguo, las habitaciones no tienen ventanas y la ducha es muy pequeña. Además, éramos tres chicas y al haber calentador de agua, teníamos que ducharnos en tiempos distintos para tener agua caliente suficiente. <br/>Por otro lado, en el baño solo tuvimos para cuatro días un rollo y medio de papel higiénico, lo cual fue insuficiente.<br/>En cuanto a la localización, no estaba tan céntrico como dicen en otros comentarios. Se encuentra a 20 minutos andando a la Sagrada Familia y a 40 minutos de las Ramblas. Eso sí, la zona del apartamento está muy bien y cuenta con numerosos restaurantes y bares donde tomar algo o comer.<br/>Nuestra estancia fue bien y Ana fue amable pero esperábamos más, por lo que no repetiríamos en este alojamiento."
1354875,459996916,2019-05-28,146744262,Basilio,"Dpto cómodo, para pasar unos lindos días, cerca del Paseo San Juan, Arco de Triunfo, la Sagrada Familia"
1354875,556668043,2019-10-30,22357856,Pascal,Good place. Quiet.
1354875,840417149325490681,2023-03-05,116644272,Manuel,"El apartamento fue para mis suegros. Ana ha sido súper amable, atenta y generosa con ellos. Estamos muy agradecidos. El piso muy cómodo y la ubicación excelente. Volverán."
1354875,886810478760906055,2023-05-08,141569093,Yerko Hernan,"Departamento cerca de bares y restaurantes, en un lugar pacífico y tranquilo. Si vuelvo a Barcelona tratare de quedarme en el mismo lugar."
1354875,899887036760158092,2023-05-26,98475603,Rosalie,"Exelente ! Me encanto el lugar , excelente ubicación. El apartamento es exactamente como lo describen. Muy atentos al momento del check in . Gracias por todo !!!!"
